q,52023,52023,52010,52018,52061,52061
100,16,80,100,100,16,100
100,18,90,100,100,16,100
100,18,90,100,100,16,100
100,14,70,100,100,16,87.5
100,18,90,100,100,14,87.5
100,20,100,100,100,14,87.5
100,16,80,100,100,14,100
100,18,90,100,100,16,100
100,18,90,100,100,16,87.5
100,12,60,100,100,14,87.5
100,12,60,100,100,14,87.5
100,16,80,100,100,14,87.5
100,12,60,100,100,14,100
100,18,90,100,100,16,100
100,18,90,100,100,16,100
100,12,60,100,100,16,100
100,16,80,100,100,16,87.5
100,12,60,100,100,14,87.5
100,10,50,100,100,14,87.5
100,14,70,100,100,14,87.5
100,8,40,100,100,14,100
100,12,60,100,100,16,87.5
100,12,60,100,100,14,87.5
100,10,50,100,100,14,100
100,10,50,100,100,16,87.5
100,10,50,100,100,14,100
100,16,80,100,100,16,100
100,18,90,100,100,16,87.5
100,14,70,100,100,14,0